X,Y
79,5
97,4
309,3
356,2
408,1
373,11
58,20
129,29
451,36
78,46
366,46
160,52
504,61
194,62
240,65
180,88
229,87
471,97
242,95
321,94
118,99
91,103
80,102
455,104
106,106
243,112
220,109
468,113
510,115
402,132
45,139
165,157
39,191
466,191
83,190
227,195
54,203
383,206
334,206
25,213
340,220
38,225
17,227
163,237
276,243
319,246
421,252
37,273
241,273
471,285
239,287
447,296
261,301
9,302
458,307
441,318
389,328
304,334
89,337
57,336
320,350
473,354
199,357
238,372
491,374
289,374
394,390
495,388
338,391
461,394
462,409
404,416
189,430
385,430
362,431
55,434
243,439
16,440
49,446
356,446
259,458
209,462
8,470
46,487
185,45
95,167
95,178
29,260
4,416
158,383
244,465
314,299
180,358
164,370
130,478
