X,Y
264,2
403,3
243,22
327,41
374,44
225,46
299,48
85,56
191,82
31,85
249,97
186,104
467,115
360,134
53,166
403,222
418,232
38,253
347,254
161,256
477,255
280,291
312,328
227,356
314,370
289,388
424,419
20,436
492,458
90,461
507,472
440,233
430,250
421,269
406,301
394,322
409,414
367,438
320,498
290,406
278,402
258,396
242,397
224,397
220,408
61,442
59,434
77,426
71,412
114,381
107,343
276,227
290,221
290,233
322,224
300,298
285,305
291,291
319,280
368,107
38,28
60,36
45,141
46,411
499,433
504,153
505,97
131,357
