X,Y
14,1
43,7
88,5
27,14
55,9
411,10
55,18
260,21
428,32
48,33
501,35
431,39
275,55
473,56
4,86
177,87
180,96
1,113
124,114
161,113
300,117
442,117
333,121
22,124
134,128
435,128
173,134
156,142
78,150
248,157
471,157
384,158
166,166
79,178
226,184
55,190
444,204
432,208
425,219
178,224
497,223
192,239
170,233
251,247
275,258
253,270
19,275
262,276
490,284
285,291
270,303
228,312
236,322
225,356
217,367
306,371
227,384
471,385
243,383
449,389
99,429
45,434
68,445
201,445
85,455
306,462
290,465
72,473
98,473
88,481
306,479
396,480
74,482
33,487
149,486
54,488
390,493
31,496
302,496
320,497
378,498
25,510
45,42
45,68
47,62
2,152
3,163
189,116
192,52
193,43
258,7
290,137
290,148
411,33
477,37
493,43
455,159
500,200
487,263
375,307
456,368
459,377
329,394
378,478
189,204
131,228
152,253
17,261
29,305
34,316
23,323
21,402
35,417
8,440
3,445
86,420
109,403
87,463
