X,Y
16,2
33,1
82,1
329,2
154,3
388,25
371,39
94,38
108,39
215,38
486,42
313,48
38,52
352,49
380,57
214,62
358,70
27,78
168,80
454,85
488,85
186,90
425,88
88,94
232,93
29,96
130,112
249,124
115,125
300,126
335,128
451,127
359,139
402,140
446,143
343,149
462,153
253,156
296,161
457,173
108,175
418,173
219,183
260,182
114,193
48,196
34,200
149,201
448,208
124,226
431,241
333,246
20,249
324,248
212,252
155,287
466,288
97,297
80,298
161,297
457,303
111,309
190,343
369,340
33,350
299,350
313,355
338,363
134,360
358,364
273,371
43,367
496,370
287,382
300,381
43,386
173,387
15,394
183,397
184,424
402,415
441,420
392,424
74,428
400,433
431,430
474,441
198,445
53,450
311,451
262,455
66,454
293,462
495,461
99,474
448,475
494,482
509,488
53,493
495,132
508,120
486,47
263,69
60,164
164,286
181,293
220,252
40,311
43,327
17,374
116,346
310,476
232,451
459,488
466,492
472,489
465,482
