X,Y
204,1
506,1
508,20
90,24
119,28
331,22
49,23
107,29
303,53
66,66
328,68
472,86
4,85
200,83
408,87
253,87
203,100
2,101
14,99
39,100
280,107
411,112
427,111
128,119
50,121
141,129
475,140
191,151
273,148
208,158
229,164
95,172
205,174
385,176
225,181
104,181
191,185
93,186
345,193
150,200
53,205
191,210
215,205
384,211
352,220
149,223
305,232
385,239
176,240
97,246
270,244
186,252
335,253
280,261
510,269
109,279
41,273
413,285
34,286
46,287
174,288
160,292
505,306
45,315
143,319
457,325
128,325
504,335
182,335
38,346
313,347
380,355
287,367
374,382
263,385
178,386
205,395
243,390
103,403
261,403
505,406
388,413
226,415
467,422
94,431
412,439
437,438
294,447
316,452
230,457
351,458
172,461
246,462
333,501
489,502
480,428
462,427
386,463
382,479
372,455
371,467
351,454
358,473
339,461
258,506
58,468
61,455
210,388
208,376
217,364
198,373
68,197
50,178
71,58
259,123
264,118
248,133
242,133
504,121
374,54
399,340
