 ,X,Y
1,488,199
2,480,185
3,503,127
4,498,40
5,484,25
6,482,36
7,453,72
8,409,40
9,411,29
10,403,27
11,406,16
12,409,5
13,365,3
14,373,53
15,375,80
16,341,66
17,343,58
18,335,101
19,377,137
20,387,167
21,380,178
22,375,178
23,397,198
24,433,178
25,443,187
26,419,265
27,431,283
28,469,305
29,480,321
30,490,343
31,482,419
32,456,434
33,446,437
34,424,442
35,391,460
36,405,479
37,478,495
38,480,485
39,502,465
40,496,487
41,359,470
42,349,476
43,360,486
44,367,434
45,375,429
46,309,405
47,299,395
48,283,394
49,253,408
50,283,410
51,184,472
52,170,474
53,155,474
54,154,487
55,345,324
56,357,317
57,368,327
58,368,302
59,351,283
60,349,302
61,273,337
62,317,277
63,282,263
64,303,238
65,262,209
66,254,216
67,249,193
68,207,217
69,258,67
70,260,46
71,277,33
72,291,25
73,288,18
74,274,18
75,264,28
76,235,45
77,226,45
78,234,59
79,219,71
80,216,84
81,209,101
82,198,94
83,193,90
84,197,75
85,192,26
86,177,15
87,169,3
88,260,4
89,151,128
90,107,159
91,67,162
92,42,143
93,85,73
94,101,206
95,92,218
96,67,210
97,18,221
98,25,227
99,35,244
100,45,249
101,13,306
102,76,345
103,84,331
104,94,336
105,120,384
106,109,395
107,98,399
108,108,431
109,136,441
110,123,447
111,119,456
112,66,472
113,70,455
114,71,479
115,12,462
116,162,336
117,168,328
118,176,335
119,180,333
120,181,262
121,178,211
122,162,202
123,156,209
124,152,224
125,115,259
126,86,265
